MD_EARN_WNE_P10,STUFACR,STUFACR,C150_4,ADM_RATE,MD_EARN_WNE_P10
40628.0,19.0,19.0,0.2678,0.684,40628.0
54501.0,18.0,18.0,0.6442,0.8668,54501.0
37621.0,12.0,12.0,0.5,,37621.0
61767.0,17.0,17.0,0.6295,0.781,61767.0
34502.0,14.0,14.0,0.2773,0.966,34502.0
59221.0,19.0,19.0,0.7276,0.8006,59221.0
33506.0,16.0,16.0,,,33506.0
50273.0,14.0,14.0,,,50273.0
44391.0,15.0,15.0,0.3584,0.9223,44391.0
65337.0,20.0,20.0,0.8075,0.4374,65337.0
59481.0,10.0,10.0,0.6463,0.5717,59481.0
36438.0,15.0,15.0,,,36438.0
34421.0,13.0,13.0,0.0909,,34421.0
42572.0,17.0,17.0,,,42572.0
34894.0,15.0,15.0,,,34894.0
43457.0,13.0,13.0,0.33,0.8241,43457.0
32937.0,17.0,17.0,,,32937.0
,7.0,7.0,,,
31399.0,14.0,14.0,,,31399.0
39842.0,19.0,19.0,,,39842.0
31598.0,15.0,15.0,,,31598.0
36909.0,14.0,14.0,0.3,0.9412,36909.0
49601.0,14.0,14.0,0.5018,0.6595,49601.0
42597.0,8.0,8.0,0.0,1.0,42597.0
28281.0,12.0,12.0,,,28281.0
,11.0,11.0,,,
45235.0,19.0,19.0,0.5224,0.7846,45235.0
40719.0,18.0,18.0,,,40719.0
38192.0,20.0,20.0,,,38192.0
31701.0,16.0,16.0,,,31701.0
44232.0,18.0,18.0,0.3846,0.6886,44232.0
32307.0,16.0,16.0,,,32307.0
59644.0,11.0,11.0,,0.627,59644.0
32627.0,14.0,14.0,0.264,,32627.0
43611.0,14.0,14.0,0.4574,0.8408,43611.0
42957.0,12.0,12.0,0.5476,0.5984,42957.0
33828.0,16.0,16.0,,,33828.0
45415.0,18.0,18.0,0.523,0.9568,45415.0
34913.0,17.0,17.0,,,34913.0
42488.0,11.0,11.0,0.4667,0.6805,42488.0
28982.0,14.0,14.0,,,28982.0
29916.0,18.0,18.0,,,29916.0
58469.0,14.0,14.0,0.7779,0.8326,58469.0
,4.0,4.0,,,
35014.0,17.0,17.0,,,35014.0
35735.0,21.0,21.0,,,35735.0
49379.0,16.0,16.0,0.4767,0.6536,49379.0
51500.0,12.0,12.0,0.6156,0.7263,51500.0
35421.0,15.0,15.0,0.248,0.6454,35421.0
32229.0,22.0,22.0,0.3529,,32229.0
32183.0,17.0,17.0,,,32183.0
42062.0,16.0,16.0,0.4552,0.9484,42062.0
49641.0,7.0,7.0,0.6728,0.2969,49641.0
55257.0,11.0,11.0,,1.0,55257.0
34107.0,13.0,13.0,,,34107.0
51871.0,11.0,11.0,0.2995,0.6532,51871.0
,3.0,3.0,0.5,,
48866.0,11.0,11.0,0.3851,,48866.0
48475.0,9.0,9.0,0.2458,0.6266,48475.0
54271.0,8.0,8.0,0.3611,0.9931,54271.0
51083.0,12.0,12.0,,,51083.0
35504.0,25.0,25.0,0.5466,,35504.0
34468.0,15.0,15.0,,,34468.0
25073.0,20.0,20.0,,,25073.0
36718.0,27.0,27.0,,,36718.0
36718.0,16.0,16.0,,,36718.0
36718.0,25.0,25.0,,,36718.0
21201.0,17.0,17.0,,,21201.0
31102.0,22.0,22.0,,,31102.0
29576.0,24.0,24.0,0.5737,,29576.0
